# Deep-sky objects — format: id,name,ra_hours,dec_degrees,magnitude,type
# To expand: replace with OpenNGC CSV (github.com/mattiaverga/OpenNGC)
# Type codes: oc=open cluster  gc=globular cluster  neb=nebula  gal=galaxy  pn=planetary nebula
#
# DSOs from OpenNGC — id,name,ra_hours,dec_degrees,magnitude,type
IC5201,IC 5201,22.349289,-46.035861,11.37,gal
IC5217,IC 5217,22.398806,50.966667,11.3,pn
IC5240,IC 5240,22.697883,-44.767167,11.66,gal
IC5250A,IC 5250,22.788194,-65.059722,11.11,gal
IC5267,IC 5267,22.953769,-43.396139,10.43,gal
IC5271,IC 5271,22.967172,-33.742222,11.54,gal
IC5273,IC 5273,22.990750,-37.702889,11.45,gal
IC5325,IC 5325,23.478731,-41.333472,11.28,gal
IC5328,IC 5328,23.554572,-45.015972,11.37,gal
IC5332,IC 5332,23.574303,-36.101083,10.03,gal
NGC0016,NGC 16,0.151192,27.729417,12.0,gal
NGC0023,NGC 23,0.164836,25.923778,11.98,gal
NGC0024,NGC 24,0.165706,-24.963139,11.52,gal
NGC0040,Bow-Tie nebula,0.216953,72.521944,11.89,pn
NGC0045,NGC 45,0.234442,-23.182083,10.44,gal
NGC0055,NGC 55,0.248222,-39.196639,8.54,gal
NGC0057,NGC 57,0.258575,17.328528,11.65,gal
NGC0128,NGC 128,0.487517,2.864056,11.63,gal
NGC0134,NGC 134,0.506103,-33.244028,10.31,gal
NGC0147,NGC 147,0.553367,48.508750,9.72,gal
NGC0150,NGC 150,0.570967,-27.803583,11.41,gal
NGC0151,NGC 151,0.567442,-9.705333,11.66,gal
NGC0185,NGC 185,0.649436,48.337389,9.2,gal
NGC0205,M110 / NGC 205,0.672800,41.685306,8.15,gal
NGC0210,NGC 210,0.676394,-13.872806,11.12,gal
NGC0221,M032 / NGC 221,0.711619,40.865278,8.13,gal
NGC0224,Andromeda Galaxy,0.712319,41.269056,3.44,gal
NGC0246,NGC 246,0.784267,-11.871944,10.9,pn
NGC0247,NGC 247,0.785708,-20.760389,9.21,gal
NGC0253,Sculptor Filament,0.792533,-25.288222,11.11,gal
NGC0254,NGC 254,0.791003,-31.421750,11.67,gal
NGC0255,NGC 255,0.796475,-11.468694,11.93,gal
NGC0266,NGC 266,0.829944,32.277722,11.82,gal
NGC0278,NGC 278,0.867864,47.550500,10.85,gal
NGC0289,NGC 289,0.878433,-31.205833,11.18,gal
NGC0292,Small Magellanic Cloud,0.879106,-72.828611,2.3,gal
NGC0300,NGC 300,0.914856,-37.684389,8.66,gal
NGC0315,NGC 315,0.963578,30.352444,11.6,gal
NGC0337,NGC 337,0.997247,-7.577972,11.48,gal
NGC0404,NGC 404,1.157506,35.718139,10.55,gal
NGC0410,NGC 410,1.183028,33.151889,11.48,gal
NGC0428,NGC 428,1.215475,0.981556,11.47,gal
NGC0470,NGC 470,1.329125,3.409944,11.79,gal
